Sood_zarar,Ravand_TF 15 min= ,Ravand_TF 1h= ,Ravand_TF 4h= ,Ravand_TF D= ,Ravand_Zstr_TF 15 min= ,Ravand_Zstr_TF 1h= ,Ravand_Zstr_TF 4h= ,Ravand_Zstr_TF D= ,PTL_signal 15 min= ,PTL_signal 1h= ,PTL_signal 4h= ,PTL_signal D= ,PTL_Status 15 min= ,PTL_Status 1h= ,PTL_Status 4h= ,PTL_Status D= ,RSI_Status 15 min= ,RSI_Status 1h= ,RSI_Status 4h= ,RSI_Status D= ,RSI 15 min= ,RSI 1h= ,RSI 4h= ,RSI D= ,MACD_Status 15 min= ,MACD_Status 1h= ,MACD_Status 4h= ,MACD_Status D= ,Stochastic_Status 15 min= ,Stochastic_Status 1h= ,Stochastic_Status 4h= ,Stochastic_Status D= ,Supp_Z_TF 15 min= ,Supp_Z_TF 1h= ,Supp_Z_TF 4h= ,Supp_Z_TF D= ,Ress_Z_TF 15 min= ,Ress_Z_TF 1h= ,Ress_Z_TF 4h= ,Ress_Z_TF D= ,n_bar_Change_ravand_TF 15 min= ,n_bar_Change_ravand_TF 1h= ,n_bar_Change_ravand_TF 4h= ,n_bar_Change_ravand_TF D= ,n_bar_Change_ravand_Zstr 15 min= ,n_bar_Change_ravand_Zstr 1h= ,n_bar_Change_ravand_Zstr 4h= ,n_bar_Change_ravand_Zstr D= ,now_ravand_perc_TF 15 min= ,now_ravand_perc_TF 1h= ,now_ravand_perc_TF 4h= ,now_ravand_perc_TF D= ,sec_ravand_perc_TF 15 min= ,sec_ravand_perc_TF 1h= ,sec_ravand_perc_TF 4h= ,sec_ravand_perc_TF D= ,third_ravand_perc_TF 15 min= ,third_ravand_perc_TF 1h= ,third_ravand_perc_TF 4h= ,third_ravand_perc_TF D= 
-9.72980198,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,OS_Ehtiait_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,39.33528294,24.16580076,22.38418529,29.44707409,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,OS_Ehtiait_Souod,1.02237,1.02237,0,1.02237,1.02681,1.02681,0,1.033815,1,1,2,1,1,6,2,1,0,0,0,0,0.434285044,-1.461162569,-2.240390132,-3.815867461,-1.42981103,0.303560553,0.720394483,2.861539057
3.96019802,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,53.34952349,55.25579461,38.74776819,35.30254628,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Sell Signal,OB_Ehtiait_Nozool,Neutral,1.03096,1.027043333,1.02237,0,1.0334,1.03096,1.03096,0,4,1,1,2,4,1,8,2,0,0,0,0,0.359204493,0.840204623,-2.240390132,-3.815867461,-0.317309372,-1.461162569,0.720394483,2.861539057
7.73019802,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,46.20715803,59.4442843,57.11391349,43.89512093,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Sell Signal,Sell Signal,Neutral,Neutral,1.0392,0,0,0,1.043445,0,0,0,3,9,3,3,3,9,3,3,-0.030792918,0,0,0,0.382519995,2.081438227,2.081438227,-3.815867461,-0.805825708,-1.461162569,-2.240390132,2.861539057
-5.35980198,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,Sell Signal_StartNozool,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,OS_Ehtiait_Souod,Neutral,Neutral,Neutral,28.8821851,32.14035891,45.63090676,40.72585592,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral,1.03283,1.03439,1.033815,0,1.03592,1.038394444,1.03776,0,9,13,9,4,52,33,9,4,-0.86928186,-0.893977866,0,0,0.56092601,2.081438227,2.081438227,-3.815867461,-0.156851424,-1.461162569,-2.240390132,2.861539057
-2.60980198,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,54.85027191,44.81842142,42.97474464,39.08169382,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Ehtemale_Start_Souod,Neutral,Buy Signa,Neutral,Sell Signal,1.03189,0,0,0,1.03261,0,0,0,1,3,3,5,11,11,3,5,0,0,0,0,0.497430107,-1.568533512,-1.568533512,-3.815867461,-0.814892056,2.081438227,2.081438227,2.861539057
-1.70980198,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,46.13133094,42.46902875,39.86205034,37.88476587,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,OS_Ehtiait_Souod,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,6,2,9,6,6,35,9,6,0,0,0,0,0.123413601,-1.568533512,-1.568533512,-3.815867461,-0.272321126,2.081438227,2.081438227,2.861539057
-6.34980198,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Vorood_OS_Ehtemal_Souod,Neutral,Neutral,39.66191541,28.18055229,30.31213098,33.91873558,Ehtemale_Start_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Neutral,1.02356,0,0,1.0213,1.02484,0,0,1.033815,3,14,3,1,34,9,3,1,0,0,0,0,-0.954283608,-0.955244145,-2.141522541,-3.916532603,0.12526096,0.376722997,2.081438227,2.861539057
-0.04980198,Ravand Soodi,Ravand Soodi,Ravand Soodi,Ravand_Transient Nozooli To Soodi,Ravand Soodi,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,Buy Signa_StartSouod,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,OB_Ehtiait_Nozool,Neutral,Neutral,Neutral,70.01537942,56.55187739,40.57446044,34.05872444,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,OB_Ehtiait_Nozool,Neutral,Neutral,Buy Signa,1.023472,1.02237,1.02237,1.01774,1.024864,1.027468333,1.033815,1.033815,9,13,4,1,24,13,4,1,0.493558231,0.630809441,0,0,-0.284724668,-1.300489744,-2.482633067,-4.251455881,0.422504765,0.376722997,2.081438227,2.861539057
6.27019802,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,Neutral,Exit_OB_Signal_Nozool,Neutral,Neutral,60.3067028,69.09322394,57.22347482,41.42245846,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Sell Signal,OB_Ehtiait_Nozool,Neutral,Neutral,0,0,1.02237,0,0,0,1.03082,0,7,2,1,2,7,2,1,2,0,0,0,0,0.674864002,1.285200542,1.285200542,-4.251455881,-0.343572374,-1.300489744,-2.482633067,2.861539057
-2.08980198,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,38.11917513,45.96546426,49.94894941,39.96056691,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Buy Signa,Sell Signal,Neutral,Neutral,1.0279125,0,0,1.01774,1.02986,0,0,1.03539,6,6,2,1,6,6,3,3,-0.118462704,0,0,0,0.394809955,-0.925255218,1.734234677,-4.251455881,-0.925255218,0.657184799,-2.482633067,2.861539057
0.82019802,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,48.28011017,51.91686695,52.78700045,41.2141762,Edame_Ravand_Nozool,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Neutral,Neutral,Neutral,Sell Signal,1.029635385,0,0,0,1.0303,0,0,0,1,5,2,2,19,5,9,4,-0.172569246,0,0,0,0.528239365,0.528239365,1.734234677,-4.251455881,-0.39219874,-0.39219874,-2.482633067,2.861539057
-1.58980198,Ravand Soodi,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,50.19839696,44.54764038,48.19407576,40.51516798,Ehtemale_Start_Souod,Ehtemale_Start_Souod,Edame_Ravand_Nozool,Edame_Ravand_Souod,Neutral,Buy Signa,OS_Ehtiait_Souod,Neutral,1.027853333,1.02686,0,0,1.02945,1.030578125,0,0,1,1,8,3,1,7,15,5,0.178213194,0,0,0,-0.596309849,0.636148428,1.734234677,-4.251455881,0.636148428,-0.434542227,-2.482633067,2.861539057
12.89019802,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,Buy Signa_StartSouod,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,Neutral,OB_Ehtiait_Nozool,OB_Ehtiait_Nozool,Neutral,56.73774625,70.27061026,70.846514,53.09679647,Edame_Ravand_Nozool,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Neutral,Sell Signal,Sell Signal,Neutral,1.0353,0,1.035708,1.033815,1.04338,0,1.04338,1.04338,8,2,1,1,8,2,1,6,0,0,0,0,0.780450111,1.645413009,2.519307485,-4.251455881,-0.735399868,-0.434542227,-2.482633067,2.861539057
1.19019802,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,63.07286843,64.71513953,65.90096919,54.25925841,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Neutral,Neutral,Neutral,Neutral,1.041096,0,1.035448333,1.033815,1.04292,0,1.0435,1.0435,1,4,1,1,7,4,1,7,0,0,0,0,-0.188787734,0.90412416,2.531098316,-4.251455881,0.90412416,-0.886524823,-2.482633067,2.861539057
-1.72980198,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,No_newSignal,Sell Signal_StartNozool,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isSouodi,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,38.67653865,46.57166343,58.3707919,52.77757117,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,OS_Ehtiait_Souod,Neutral,Neutral,Sell Signal,1.04075,1.03918,0,1.033815,1.04226,1.04344,0,1.04569,7,12,3,1,7,12,3,1,-0.114174966,-0.441813539,0,0,0.10757439,1.115892279,2.746280975,2.746280975,-0.435119395,-0.886524823,-2.482633067,-4.251455881
0.52019802,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isSouodi,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,44.55573596,50.14485152,56.77322972,53.07547593,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Neutral,Neutral,Sell Signal,Neutral,0,1.04125,0,0,0,1.04569,0,0,3,1,9,2,3,5,2,2,0,0,0,0,-0.240476738,0.636353118,-0.815729327,2.746280975,0.636353118,-0.464491363,2.746280975,-4.251455881
6.32019802,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isSouodi,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,32.88473159,53.2916083,61.08039807,58.09038011,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Neutral,Neutral,Neutral,Buy Signa,1.046356667,1.044532,0,1.033815,1.04969,1.05211,0,1.05211,4,5,2,1,19,5,2,1,-0.362129435,0,0,0,0.552406984,1.44143623,1.44143623,3.377090416,-0.488839434,-0.464491363,-0.815729327,-4.251455881
0.95019802,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isNozooli,PTL_isSouodi,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,49.13039298,52.68894533,59.34757014,59.46887412,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Neutral,Neutral,Neutral,Sell Signal,0,0,0,1.033815,0,0,0,1.05329,4,3,3,1,12,9,3,1,0,0,0,0,-0.513628725,0.758590342,1.555208454,3.493033584,0.758590342,-0.641567897,-0.815729327,-4.251455881
-6.42980198,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,46.07754867,41.84325503,47.44610295,52.60983934,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Souod,Buy Signa,Sell Signal,Neutral,Neutral,1.04281,0,0,0,1.04365,0,0,0,9,8,3,2,30,10,3,2,0,0,0,0,0.262162214,-1.134540345,-1.134540345,3.493033584,-0.292991191,0.758590342,1.555208454,-4.251455881
-0.94980198,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,51.61178475,48.164808,46.90815105,51.51260144,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Souod,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,9,9,3,3,9,9,3,3,0,0,0,0,0.390839342,-0.586984832,-1.433603281,3.493033584,-0.385496879,0.286169743,1.555208454,-4.251455881
-2.35980198,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isNeutral,PTL_isSouodi,Neutral,Neutral,Neutral,Neutral,39.1178554,42.14777703,43.85306781,49.28459858,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Buy Signa,Neutral,Neutral,Neutral,0,0,1.03859,0,0,0,1.045007857,0,19,2,1,4,19,2,2,4,0,0,0,0,-0.556972667,-0.777659951,0.822585461,3.493033584,0.744954234,0.744954234,-1.433603281,-4.251455881
-15.19980198,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,No_newSignal,Sell Signal_StartNozool,Sell Signal_StartNozool,Sell Signal_StartNozool,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Vorood_OS_Ehtemal_Souod,Vorood_OS_Ehtemal_Souod,Vorood_OS_Ehtemal_Souod,Neutral,16.99028154,22.0310459,27.19259684,36.70259978,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Sell Signal,OS_Ehtiait_Souod,Neutral,OS_Ehtiait_Souod,0,0,1.02409,1.01774,1.03625,1.026545,1.036382857,1.033815,20,5,8,5,20,5,8,5,-1.831600134,-1.831600134,-2.148596104,-2.758024855,0.709459459,0.709459459,0.822585461,3.493033584,-0.335741566,-1.025097207,-1.433603281,-4.251455881
9.29019802,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Nozooli To Soodi,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,OB_Ehtiait_Nozool,Neutral,Neutral,Neutral,70.89466289,60.45135026,46.79499973,43.90742182,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Sell Signal,Neutral,Neutral,Neutral,1.027576667,1.02118,1.02581,1.033815,1.03496,1.03496,1.03496,1.04955,1,1,1,1,1,1,5,1,0,0,0,0,1.029861091,1.349419299,-2.440935103,-3.048543136,-0.422839146,-2.124886184,0.822585461,3.493033584
3.90019802,Ravand Nozooli,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isSouodi,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,50.67648936,62.94481711,52.97403411,48.01782921,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Buy Signa,Neutral,Sell Signal,Neutral,1.03541,1.02717,1.02581,0,1.03873,1.03873,1.03873,0,4,1,1,2,4,1,1,2,-0.101084979,0,0,0,0.655057802,1.718600051,1.718600051,-3.048543136,-0.283119142,-2.124886184,-2.440935103,3.493033584
