Sood_zarar,Ravand_TF 15 min= ,Ravand_TF 1h= ,Ravand_TF 4h= ,Ravand_TF D= ,Ravand_Zstr_TF 15 min= ,Ravand_Zstr_TF 1h= ,Ravand_Zstr_TF 4h= ,Ravand_Zstr_TF D= ,PTL_signal 15 min= ,PTL_signal 1h= ,PTL_signal 4h= ,PTL_signal D= ,PTL_Status 15 min= ,PTL_Status 1h= ,PTL_Status 4h= ,PTL_Status D= ,RSI_Status 15 min= ,RSI_Status 1h= ,RSI_Status 4h= ,RSI_Status D= ,RSI 15 min= ,RSI 1h= ,RSI 4h= ,RSI D= ,MACD_Status 15 min= ,MACD_Status 1h= ,MACD_Status 4h= ,MACD_Status D= ,Stochastic_Status 15 min= ,Stochastic_Status 1h= ,Stochastic_Status 4h= ,Stochastic_Status D= 
-9.72980198,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,OS_Ehtiait_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,39.33528294,24.16580076,22.38418529,29.44707409,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,OS_Ehtiait_Souod
3.96019802,Ravand Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,53.34952349,55.25579461,38.74776819,35.30254628,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Sell Signal,OB_Ehtiait_Nozool,Neutral
7.73019802,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,46.20715803,59.4442843,57.11391349,43.89512093,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Sell Signal,Sell Signal,Neutral,Neutral
-5.35980198,Ravand Nozooli,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,Sell Signal_StartNozool,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,OS_Ehtiait_Souod,Neutral,Neutral,Neutral,28.8821851,32.14035891,45.63090676,40.72585592,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral
-2.60980198,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,54.85027191,44.81842142,42.97474464,39.08169382,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Ehtemale_Start_Souod,Neutral,Buy Signa,Neutral,Sell Signal
-1.70980198,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,46.13133094,42.46902875,39.86205034,37.88476587,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,OS_Ehtiait_Souod,Neutral,Neutral,Neutral
-6.34980198,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Vorood_OS_Ehtemal_Souod,Neutral,Neutral,39.66191541,28.18055229,30.31213098,33.91873558,Ehtemale_Start_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Neutral
-0.04980198,Ravand Soodi,Ravand Soodi,Ravand Soodi,Ravand_Transient Nozooli To Soodi,Ravand Soodi,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,Buy Signa_StartSouod,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,OB_Ehtiait_Nozool,Neutral,Neutral,Neutral,70.01537942,56.55187739,40.57446044,34.05872444,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,OB_Ehtiait_Nozool,Neutral,Neutral,Buy Signa
6.27019802,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,Neutral,Exit_OB_Signal_Nozool,Neutral,Neutral,60.3067028,69.09322394,57.22347482,41.42245846,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Souod,Sell Signal,OB_Ehtiait_Nozool,Neutral,Neutral
-2.08980198,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,38.11917513,45.96546426,49.94894941,39.96056691,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Buy Signa,Sell Signal,Neutral,Neutral
