Sood_zarar,Ravand_TF 15 min= ,Ravand_TF 1h= ,Ravand_TF 4h= ,Ravand_TF D= ,Ravand_Zstr_TF 15 min= ,Ravand_Zstr_TF 1h= ,Ravand_Zstr_TF 4h= ,Ravand_Zstr_TF D= ,PTL_signal 15 min= ,PTL_signal 1h= ,PTL_signal 4h= ,PTL_signal D= ,PTL_Status 15 min= ,PTL_Status 1h= ,PTL_Status 4h= ,PTL_Status D= ,RSI_Status 15 min= ,RSI_Status 1h= ,RSI_Status 4h= ,RSI_Status D= ,RSI 15 min= ,RSI 1h= ,RSI 4h= ,RSI D= ,MACD_Status 15 min= ,MACD_Status 1h= ,MACD_Status 4h= ,MACD_Status D= ,Stochastic_Status 15 min= ,Stochastic_Status 1h= ,Stochastic_Status 4h= ,Stochastic_Status D= ,Supp_Z_percent_distance_TF 15 min=,Supp_Z_percent_distance_TF 1h=,Supp_Z_percent_distance_TF 4h=,Supp_Z_percent_distance_TF D=,Supp_Z_repeat_count_TF 15 min=,Supp_Z_repeat_count_TF 1h=,Supp_Z_repeat_count_TF 4h=,Supp_Z_repeat_count_TF D=,Ress_Z_percent_distance_TF 15 min=,Ress_Z_percent_distance_TF 1h=,Ress_Z_percent_distance_TF 4h=,Ress_Z_percent_distance_TF D=,Ress_Z_repeat_count_TF 15 min=,Ress_Z_repeat_count_TF 1h=,Ress_Z_repeat_count_TF 4h=,Ress_Z_repeat_count_TF D=,Supp_Z_repeated_percent_distance_TF 15 min=,Supp_Z_repeated_percent_distance_TF 1h=,Supp_Z_repeated_percent_distance_TF 4h=,Supp_Z_repeated_percent_distance_TF D=,Supp_Z_repeated_repeat_count_TF 15 min=,Supp_Z_repeated_repeat_count_TF 1h=,Supp_Z_repeated_repeat_count_TF 4h=,Supp_Z_repeated_repeat_count_TF D=,Ress_Z_repeated_percent_distance_TF 15 min=,Ress_Z_repeated_percent_distance_TF 1h=,Ress_Z_repeated_percent_distance_TF 4h=,Ress_Z_repeated_percent_distance_TF D=,Ress_Z_repeated_repeat_count_TF 15 min=,Ress_Z_repeated_repeat_count_TF 1h=,Ress_Z_repeated_repeat_count_TF 4h=,Ress_Z_repeated_repeat_count_TF D=,Supp_Z_farthest_percent_distance_TF 15 min=,Supp_Z_farthest_percent_distance_TF 1h=,Supp_Z_farthest_percent_distance_TF 4h=,Supp_Z_farthest_percent_distance_TF D=,Supp_Z_farthest_repeat_count_TF 15 min=,Supp_Z_farthest_repeat_count_TF 1h=,Supp_Z_farthest_repeat_count_TF 4h=,Supp_Z_farthest_repeat_count_TF D=,Ress_Z_farthest_percent_distance_TF 15 min=,Ress_Z_farthest_percent_distance_TF 1h=,Ress_Z_farthest_percent_distance_TF 4h=,Ress_Z_farthest_percent_distance_TF D=,Ress_Z_farthest_repeat_count_TF 15 min=,Ress_Z_farthest_repeat_count_TF 1h=,Ress_Z_farthest_repeat_count_TF 4h=,Ress_Z_farthest_repeat_count_TF D=,Supp_Z_2th_percent_distance_TF 15 min=,Supp_Z_2th_percent_distance_TF 1h=,Supp_Z_2th_percent_distance_TF 4h=,Supp_Z_2th_percent_distance_TF D=,Supp_Z_2th_repeat_count_TF 15 min=,Supp_Z_2th_repeat_count_TF 1h=,Supp_Z_2th_repeat_count_TF 4h=,Supp_Z_2th_repeat_count_TF D=,Ress_Z_2th_percent_distance_TF 15 min=,Ress_Z_2th_percent_distance_TF 1h=,Ress_Z_2th_percent_distance_TF 4h=,Ress_Z_2th_percent_distance_TF D=,Ress_Z_2th_repeat_count_TF 15 min=,Ress_Z_2th_repeat_count_TF 1h=,Ress_Z_2th_repeat_count_TF 4h=,Ress_Z_2th_repeat_count_TF D=,n_bar_Change_ravand_TF 15 min= ,n_bar_Change_ravand_TF 1h= ,n_bar_Change_ravand_TF 4h= ,n_bar_Change_ravand_TF D= ,n_bar_Change_ravand_Zstr 15 min= ,n_bar_Change_ravand_Zstr 1h= ,n_bar_Change_ravand_Zstr 4h= ,n_bar_Change_ravand_Zstr D= ,now_ravand_perc_TF 15 min= ,now_ravand_perc_TF 1h= ,now_ravand_perc_TF 4h= ,now_ravand_perc_TF D= ,sec_ravand_perc_TF 15 min= ,sec_ravand_perc_TF 1h= ,sec_ravand_perc_TF 4h= ,sec_ravand_perc_TF D= ,third_ravand_perc_TF 15 min= ,third_ravand_perc_TF 1h= ,third_ravand_perc_TF 4h= ,third_ravand_perc_TF D= 
-10.51,Ravand Soodi,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNeutral,Neutral,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral,39.93533799,29.78581278,29.45519211,51.61399499,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Buy Signa,Buy Signa,Neutral,0.031969309,0.136280599,0.344202899,1.441511387,1,5,6,6,0.026488856,0.067592254,0.202472293,0.170198514,1,1,3,9,0.079466569,0.136280599,0.344202899,1.441511387,2,5,6,6,0.62264036,0.302338327,0.202472293,0.170198514,3,2,3,9,0.079466569,0.548958714,2.655279503,4.132489953,2,1,2,4,1.745524297,1.745524297,1.745524297,2.98867373,1,1,1,1,0.079466569,0.376324443,1.14489274,2.520856169,2,1,7,6,0.18176836,0.302338327,0.591888929,1.365317866,1,2,2,4,2,1,1,1,2,1,1,3,0,0,0,0,-0.910449789,-1.805352318,-1.805352318,3.877537698,0.214255236,1.188194362,3.877537698,-2.664112991
-2.4,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,Sell Signal_StartNozool,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,53.72190342,39.54057425,30.96154268,49.82736074,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,OS_Ehtiait_Souod,0.112589935,0.292001538,0.199854762,1.230403554,4,1,6,6,0.039970952,0.085586658,0.417101465,0.338685169,3,4,3,9,0.112589935,NotExist,0.199854762,1.230403554,4,NotExist,6,6,0.039970952,0.085586658,0.417101465,0.338685169,3,4,3,9,0.268659722,0.292001538,2.446771507,3.927146074,2,1,2,4,1.409662596,1.963458616,1.963458616,3.20927082,3,1,1,1,0.268659722,NotExist,0.933149563,2.312060243,2,NotExist,7,6,0.144170038,0.326327737,0.807352214,1.582437801,4,2,2,4,10,3,1,1,10,3,1,4,0,0,0,0,0.299283006,-0.660276696,-2.212027902,3.877537698,-0.416883794,0.247760102,3.877537698,-2.664112991
1.83,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,41.36907318,49.74027185,41.58095625,51.68140192,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Buy Signa,0.068043365,0.139557398,0.532245248,1.449612899,6,5,4,6,0.030688014,0.160564075,0.008950671,0.115993387,5,5,5,9,0.068043365,0.139557398,0.532245248,1.449612899,6,5,4,6,0.030688014,0.160564075,0.008950671,0.115993387,5,5,5,9,0.490003562,0.513293573,2.663281243,4.140370266,2,1,2,4,0.818347049,1.737160811,1.737160811,2.980208057,1,1,1,1,0.177491194,0.513293573,0.885020413,2.528868958,6,1,1,6,0.160016075,0.406433523,0.505073569,1.356985633,5,3,3,4,3,7,3,2,25,12,3,5,-0.145920163,0,0,0,0.298198915,0.72617441,0.72617441,3.877537698,-0.360013854,-0.660276696,-2.212027902,-2.664112991
-0.3,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,49.51316994,51.86896318,45.67414943,51.73795021,Ehtemale_Start_Souod,Ehtemale_Start_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Neutral,Buy Signa,Sell Signal,Neutral,0.13600902,0.12950363,0.617988645,1.455013167,13,5,6,6,0.027246297,0.138514696,0.003470478,0.094068222,6,6,5,9,0.13600902,0.12950363,0.617988645,1.455013167,13,5,6,6,0.027246297,0.138514696,0.003470478,0.094068222,6,6,5,9,0.666697109,0.666697109,2.668615005,4.145623088,1,1,2,4,0.443855884,1.731585917,1.731585917,2.974565049,1,1,1,1,0.295538609,0.518745148,1.29914608,2.534210086,10,1,8,6,0.162260073,0.48276177,0.485638614,1.351431572,3,5,4,4,6,7,2,1,15,7,2,1,0,0,0,0,-0.574644711,1.118006712,1.118006712,-2.357461554,1.118006712,-0.868590386,-0.868590386,3.877537698
0.57,Ravand Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,47.29496921,52.46174743,49.49319698,52.69394252,Ehtemale_Start_Souod,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Buy Signa,Neutral,Sell Signal,Neutral,0.079609117,0.030262109,0.090512601,1.547625565,12,6,5,6,0.059915935,0.139601088,0.391202394,1.256181682,3,2,4,4,0.079609117,0.030262109,0.090512601,1.547625565,12,6,5,6,0.059915935,0.139601088,0.391202394,1.256181682,3,2,4,4,0.760050366,0.760050366,2.760086863,4.235706856,1,1,2,4,0.349458932,1.635978759,1.635978759,2.877789741,1,1,1,1,0.235953211,0.242248946,0.711387677,2.625808257,15,6,6,6,0.169711126,0.388328254,1.635978759,2.877789741,1,5,1,1,1,4,8,2,14,6,8,2,0,0,0,0,-0.271442104,0.513628082,1.118006712,-2.357461554,0.513628082,-0.689209954,-0.868590386,3.877537698
-3.11,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,47.43032138,43.04289249,42.00226226,50.0839312,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Sell Signal,Neutral,Sell Signal,Neutral,0.085084581,0.005031884,0.406471656,1.28191053,2,8,7,6,0.033088448,0.243017118,0.179135065,0.269891952,12,8,5,9,0.085084581,0.005031884,0.406471656,1.28191053,2,8,7,6,0.033088448,0.243017118,0.179135065,0.269891952,12,8,5,9,0.492209729,0.492209729,2.512282371,3.977246736,1,1,1,4,0.620294045,1.910286085,1.910286085,3.155448615,1,1,1,1,0.18480737,0.343997877,1.12576965,2.36300315,1,1,8,6,0.17419467,0.409869811,0.66215017,1.529463967,10,2,4,4,1,6,2,3,1,6,2,3,0,0,0,0,0.191565614,-0.622130729,-0.800138206,-2.357461554,-0.371662344,0.513628082,1.118006712,3.877537698
3.8,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,57.23256762,61.83596656,56.28480404,53.89164572,Ehtemale_Start_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Sell Signal,Neutral,OB_Ehtiait_Nozool,Neutral,0.039197098,0.003950095,0.636269166,0.094802283,1,6,8,9,0.020510109,0.254325354,0.133201765,1.160188511,2,1,8,4,0.092432225,0.003950095,0.636269166,0.094802283,5,6,8,9,0.020510109,0.616579461,0.133201765,1.160188511,2,5,8,4,0.547847806,0.854132103,1.96951742,4.326493592,1,1,5,4,0.074747954,1.539625531,1.539625531,2.780259248,1,1,1,1,0.092432225,0.176191605,1.344942272,1.640960663,5,7,7,6,0.074747954,0.616579461,1.539625531,2.780259248,1,5,1,1,1,1,1,4,1,1,1,4,0,0,0,0,0.373226488,0.571947095,0.571947095,-2.357461554,-0.21268827,-0.622130729,-0.800138206,3.877537698
-0.62,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isNeutral,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,51.489758,51.44533693,53.95296642,53.76789049,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Sell Signal,Neutral,Neutral,Neutral,0.123481542,0.037181158,0.634469323,0.309061866,2,5,9,7,0.006227236,0.084751169,0.134872828,0.717347258,6,1,8,6,0.123481542,0.037181158,0.634469323,0.309061866,2,5,9,7,0.006227236,0.229192677,0.134872828,0.717347258,6,2,8,6,0.575943426,0.882141197,1.997211413,4.35352173,1,1,5,4,0.232382237,1.510940191,1.510940191,2.751223424,1,1,1,1,0.203676196,0.191069839,1.37281271,1.668747475,6,6,7,6,0.097965061,0.229192677,1.510940191,1.510940191,4,2,1,1,2,3,2,1,9,7,3,5,0,0,0,0,0.482163606,-0.626431974,0.81300813,-2.357461554,-0.626431974,0.81300813,-0.800138206,3.877537698
-3.34,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,35.82447427,42.40189996,45.69493292,51.2438422,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral,Sell Signal,0.014386583,0.159148286,0.402113889,0.075945502,4,13,9,7,0.112743838,0.081803078,0.367403402,0.952863767,7,9,9,6,0.014386583,0.159148286,0.402113889,0.075945502,4,13,9,7,0.112743838,0.081803078,0.367403402,0.952863767,7,9,9,6,0.162591229,0.650364917,1.768042603,4.129862894,4,1,5,4,0.466764709,1.228568558,1.748312431,2.991495931,1,2,1,1,0.162591229,0.50238863,1.142183812,1.438810587,4,1,7,6,0.280995095,0.298921235,1.748312431,1.748312431,16,4,1,1,12,7,2,2,28,7,9,6,-0.353160697,0,0,0,0.466370994,0.466370994,0.81300813,-2.357461554,-0.427046911,-0.450614474,-0.800138206,3.877537698
-0.18,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Sell Signal_StartNozool,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,45.68958542,46.06859625,46.74968313,51.51255696,Edame_Ravand_Nozool,Ehtemale_Start_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Sell Signal,Neutral,0.016894051,0.163787503,0.381511312,0.102407957,8,14,9,7,0.084796397,0.016959279,0.340823537,0.926128857,7,7,9,6,0.016894051,0.163787503,0.381511312,0.102407957,8,14,9,7,0.084796397,0.016959279,0.340823537,0.926128857,7,7,9,6,0.150676675,0.676675251,1.794056947,4.155251767,4,1,5,4,0.44015853,0.781235731,1.721366866,2.964221139,1,2,1,1,0.150676675,0.369842748,1.168363899,1.46491212,4,1,7,6,0.176854845,0.166961932,1.721366866,1.721366866,6,6,1,1,5,3,3,3,12,12,15,7,-0.023737355,0,0,0,0.140796138,-0.485140855,0.81300813,-2.357461554,-0.189805267,0.466370994,-0.800138206,3.877537698
