Sood_zarar,Ravand_TF 15 min= ,Ravand_TF 1h= ,Ravand_TF 4h= ,Ravand_TF D= ,Ravand_Zstr_TF 15 min= ,Ravand_Zstr_TF 1h= ,Ravand_Zstr_TF 4h= ,Ravand_Zstr_TF D= ,PTL_signal 15 min= ,PTL_signal 1h= ,PTL_signal 4h= ,PTL_signal D= ,PTL_Status 15 min= ,PTL_Status 1h= ,PTL_Status 4h= ,PTL_Status D= ,RSI_Status 15 min= ,RSI_Status 1h= ,RSI_Status 4h= ,RSI_Status D= ,RSI 15 min= ,RSI 1h= ,RSI 4h= ,RSI D= ,MACD_Status 15 min= ,MACD_Status 1h= ,MACD_Status 4h= ,MACD_Status D= ,Stochastic_Status 15 min= ,Stochastic_Status 1h= ,Stochastic_Status 4h= ,Stochastic_Status D= ,Supp_Z_percent_distance_TF 15 min=,Supp_Z_percent_distance_TF 1h=,Supp_Z_percent_distance_TF 4h=,Supp_Z_percent_distance_TF D=,Supp_Z_repeat_count_TF 15 min=,Supp_Z_repeat_count_TF 1h=,Supp_Z_repeat_count_TF 4h=,Supp_Z_repeat_count_TF D=,Ress_Z_percent_distance_TF 15 min=,Ress_Z_percent_distance_TF 1h=,Ress_Z_percent_distance_TF 4h=,Ress_Z_percent_distance_TF D=,Ress_Z_repeat_count_TF 15 min=,Ress_Z_repeat_count_TF 1h=,Ress_Z_repeat_count_TF 4h=,Ress_Z_repeat_count_TF D=,Supp_Z_repeated_percent_distance_TF 15 min=,Supp_Z_repeated_percent_distance_TF 1h=,Supp_Z_repeated_percent_distance_TF 4h=,Supp_Z_repeated_percent_distance_TF D=,Supp_Z_repeated_repeat_count_TF 15 min=,Supp_Z_repeated_repeat_count_TF 1h=,Supp_Z_repeated_repeat_count_TF 4h=,Supp_Z_repeated_repeat_count_TF D=,Ress_Z_repeated_percent_distance_TF 15 min=,Ress_Z_repeated_percent_distance_TF 1h=,Ress_Z_repeated_percent_distance_TF 4h=,Ress_Z_repeated_percent_distance_TF D=,Ress_Z_repeated_repeat_count_TF 15 min=,Ress_Z_repeated_repeat_count_TF 1h=,Ress_Z_repeated_repeat_count_TF 4h=,Ress_Z_repeated_repeat_count_TF D=,Supp_Z_farthest_percent_distance_TF 15 min=,Supp_Z_farthest_percent_distance_TF 1h=,Supp_Z_farthest_percent_distance_TF 4h=,Supp_Z_farthest_percent_distance_TF D=,Supp_Z_farthest_repeat_count_TF 15 min=,Supp_Z_farthest_repeat_count_TF 1h=,Supp_Z_farthest_repeat_count_TF 4h=,Supp_Z_farthest_repeat_count_TF D=,Ress_Z_farthest_percent_distance_TF 15 min=,Ress_Z_farthest_percent_distance_TF 1h=,Ress_Z_farthest_percent_distance_TF 4h=,Ress_Z_farthest_percent_distance_TF D=,Ress_Z_farthest_repeat_count_TF 15 min=,Ress_Z_farthest_repeat_count_TF 1h=,Ress_Z_farthest_repeat_count_TF 4h=,Ress_Z_farthest_repeat_count_TF D=,Supp_Z_2th_percent_distance_TF 15 min=,Supp_Z_2th_percent_distance_TF 1h=,Supp_Z_2th_percent_distance_TF 4h=,Supp_Z_2th_percent_distance_TF D=,Supp_Z_2th_repeat_count_TF 15 min=,Supp_Z_2th_repeat_count_TF 1h=,Supp_Z_2th_repeat_count_TF 4h=,Supp_Z_2th_repeat_count_TF D=,Ress_Z_2th_percent_distance_TF 15 min=,Ress_Z_2th_percent_distance_TF 1h=,Ress_Z_2th_percent_distance_TF 4h=,Ress_Z_2th_percent_distance_TF D=,Ress_Z_2th_repeat_count_TF 15 min=,Ress_Z_2th_repeat_count_TF 1h=,Ress_Z_2th_repeat_count_TF 4h=,Ress_Z_2th_repeat_count_TF D=,n_bar_Change_ravand_TF 15 min= ,n_bar_Change_ravand_TF 1h= ,n_bar_Change_ravand_TF 4h= ,n_bar_Change_ravand_TF D= ,n_bar_Change_ravand_Zstr 15 min= ,n_bar_Change_ravand_Zstr 1h= ,n_bar_Change_ravand_Zstr 4h= ,n_bar_Change_ravand_Zstr D= ,now_ravand_perc_TF 15 min= ,now_ravand_perc_TF 1h= ,now_ravand_perc_TF 4h= ,now_ravand_perc_TF D= ,sec_ravand_perc_TF 15 min= ,sec_ravand_perc_TF 1h= ,sec_ravand_perc_TF 4h= ,sec_ravand_perc_TF D= ,third_ravand_perc_TF 15 min= ,third_ravand_perc_TF 1h= ,third_ravand_perc_TF 4h= ,third_ravand_perc_TF D= 
-0.62,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,41.23457572,30.72332592,34.95697744,35.48280448,Edame_Ravand_Souod,Ehtemale_Start_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Buy Signa,Neutral,OS_Ehtiait_Souod,Neutral,0.064241277,0.078892796,0.111415949,0.111415949,2,3,3,3,0.121720314,0.027048959,0.251168901,1.209474864,1,1,2,2,0.064241277,0.078892796,0.111415949,0.111415949,2,3,3,3,0.441719155,0.178716334,0.251168901,1.209474864,4,2,2,2,0.064241277,0.078892796,0.111415949,0.111415949,2,3,3,3,1.027860427,1.761080413,5.651300282,8.098587014,1,1,1,3,0,0,0,0,0,0,0,0,0.191274779,0.178716334,0.897123794,2.798762188,1,2,6,6,2,7,2,1,2,7,2,7,0,0,0,0,-0.175604485,-0.768419033,-1.09103079,-2.696320548,0.196250931,0.507163932,0.720394483,2.861539057
0.81,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,55.91619256,38.07871426,37.71656304,36.52209568,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Buy Signa,Neutral,0.147684823,0.053089316,0.191443289,0.191443289,3,1,3,3,0.022683617,0.098456549,0.17085107,1.12838927,2,2,2,2,0.147684823,0.158946193,0.191443289,0.191443289,3,3,3,3,0.022683617,0.098456549,0.17085107,1.12838927,2,2,2,2,0.147684823,0.158946193,0.191443289,0.191443289,3,3,3,3,0.946920337,1.679552891,5.457581637,8.011982098,1,1,2,3,0,0.158946193,0,0,0,3,0,0,0.111004932,0.259461964,0.816288446,2.716403311,1,5,6,6,2,9,3,1,2,9,3,7,0,0,0,0,0.15854755,-0.768419033,-1.09103079,-2.696320548,-0.195866541,0.507163932,0.720394483,2.861539057
1.17,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isSouodi,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,67.83981378,46.95456728,41.99785424,38.15464689,Edame_Ravand_Souod,Edame_Ravand_Souod,Edame_Ravand_Nozool,Ehtemale_Start_Souod,Neutral,OB_Ehtiait_Nozool,Buy Signa,Neutral,0.021853498,0.007070249,0.308841347,0.308841347,3,3,3,3,0.243200509,0.141533537,0.05302687,1.009438783,4,5,2,2,0.021853498,0.007070249,0.308841347,0.308841347,3,3,3,3,0.243200509,0.141533537,0.05302687,1.009438783,4,5,2,2,0.265134351,0.276382475,0.308841347,0.308841347,3,3,3,3,0.828183299,1.559954108,5.333539013,7.884934905,1,1,2,3,0.265134351,0.170650109,0,0,3,1,0,0,0.360100655,0.352441218,0.697705061,2.595584951,6,9,6,6,2,1,3,1,2,1,3,7,0,0,0,0,0.290026006,0.290026006,-1.09103079,-2.696320548,-0.195866541,-0.768419033,0.720394483,2.861539057
-1.14,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNeutral,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,47.04682807,41.08696835,38.82735621,36.85002807,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Sell Signal,Neutral,Neutral,Neutral,0.170811499,0.076237901,0.214559831,0.214559831,3,1,3,3,0.005307702,0.092000167,0.147650618,1.104967044,2,3,2,2,0.170811499,0.182070261,0.214559831,0.214559831,3,3,3,3,0.005307702,0.092000167,0.147650618,1.104967044,2,3,2,2,0.170811499,0.182070261,0.214559831,0.214559831,3,3,3,3,0.923540141,1.656003011,5.433156732,7.986965571,1,1,2,3,0,0.182070261,0,0,0,3,0,0,0.106636558,0.236240989,0.792938505,2.692613287,2,5,6,6,1,2,4,1,1,2,4,7,0,0,0,0,-0.133008202,0.303560553,-1.09103079,-2.696320548,0.303560553,-0.768419033,0.720394483,2.861539057
-0.18,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Soodi To Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNeutral,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,45.63335617,40.90170386,38.8030085,36.83643188,Edame_Ravand_Nozool,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Neutral,0.002412615,0.075273591,0.213596855,0.213596855,2,1,3,3,0.103259925,0.092966101,0.148617089,1.105942753,3,3,2,2,0.002412615,0.181106972,0.213596855,0.213596855,2,3,3,3,0.103259925,0.092966101,0.148617089,1.105942753,3,3,2,2,0.169848102,0.181106972,0.213596855,0.213596855,3,3,3,3,0.924514099,1.656984038,5.43417421,7.988007695,1,1,2,3,0.169848102,0.181106972,0,0,3,3,0,0,0.338972419,0.237208315,0.793911203,2.693604318,4,5,6,6,1,4,4,1,1,4,4,7,0,0,0,0,0.118729307,0.303560553,-1.09103079,-2.696320548,-0.150357098,-0.768419033,0.720394483,2.861539057
-1.42,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isSouodi,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,40.47536037,36.04126282,36.97215082,35.61509608,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Buy Signa,Neutral,Neutral,0.073020196,0.069349869,0.12781754,0.12781754,5,5,3,3,0.083548241,0.179008947,0.234707774,1.192856384,2,3,2,2,0.073020196,0.069349869,0.12781754,0.12781754,5,5,3,3,0.083548241,0.179008947,0.234707774,1.192856384,2,3,2,2,0.073020196,0.069349869,0.12781754,0.12781754,5,5,3,3,1.011271768,1.551196237,5.524808515,8.08083735,1,2,2,3,0,0,0,0,0,0,0,0,0.182309022,0.323375156,0.880556602,2.781882749,4,5,6,6,1,2,5,1,6,6,5,7,0,0,0,0,-0.251639028,0.303560553,-1.09103079,-2.696320548,0.118729307,-0.768419033,0.720394483,2.861539057
-2.29,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand Nozooli,Ravand Nozooli,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,Neutral,Neutral,Neutral,39.28379343,33.59313024,32.37908662,34.03276099,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Buy Signa,Neutral,Neutral,0.180989344,0.180989344,0,0,1,1,0,0,0.124127718,0.109690511,0.058555376,0.058555376,4,3,2,2,0,0,0,0,0,0,0,0,0.124127718,0.109690511,0.058555376,0.058555376,4,3,2,2,0.180989344,0.180989344,0,0,1,1,0,0,1.218532535,1.759564851,5.741330417,8.302603859,1,2,2,3,0,0,0,0,0,0,0,0,0.28890545,0.215832212,0.440375142,1.400489736,2,1,2,2,5,2,7,2,5,2,12,17,0,0,-1.203863071,-2.796044895,-0.564982646,-0.596609255,0.720394483,2.861539057,0.118729307,0.303560553,-0.611652995,-5.513596547
-2.19,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand Nozooli,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral,32.81131706,28.04664193,29.19160978,32.7097513,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral,0.006787681,0.019393375,0,0,2,1,0,0,0.205569777,0.297041864,0.157409562,0.245811031,1,3,3,2,0.006787681,0,0,0,2,0,0,0,0.31150609,0.297041864,0.157409562,0.245811031,4,3,3,2,0.006787681,0.019393375,0,0,2,1,0,0,1.407959041,1.950003879,5.939221162,8.505287927,1,2,2,3,0,0,0,0,0,0,0,0,0.31150609,0.403382205,0.628345357,1.590256768,4,1,2,2,2,1,1,2,2,1,1,17,0,0,0,-2.97761847,-0.590050135,-0.621668771,-1.407534902,2.861539057,0.118729307,0.303560553,0.720394483,-5.513596547
-3.74,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand Nozooli,Ravand Nozooli,Ravand_Transient Nozooli To Soodi,Ravand_Transient Nozooli To Soodi,Ravand Nozooli,Ravand Nozooli,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,OS_Ehtiait_Souod,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Neutral,26.03656595,21.51612833,24.37691966,30.49252926,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,OS_Ehtiait_Souod,Buy Signa,OS_Ehtiait_Souod,Neutral,0.043788376,0.043788376,0,0,1,1,0,0,0.35711853,0.649365393,0.597954596,0.597954596,1,3,2,2,0,0,0,0,0,0,0,0,0.663880429,0.649365393,0.597954596,0.597954596,4,3,2,2,0.043788376,0.043788376,0,0,1,1,0,0,1.764185001,2.308133934,6.311364543,8.886445389,1,2,2,3,0,0,0,0,0,0,0,0,0.557571983,0.756079286,0.981832689,1.947123104,1,1,2,2,1,1,8,2,1,1,13,17,0,0,-1.733601071,-3.317245726,-0.962205939,-0.993706206,0.720394483,2.861539057,0.118729307,0.303560553,-0.611652995,-5.513596547
-1.11,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand Nozooli,Ravand mobham_Shayad_Kanal,Ravand mobham_Shayad_Kanal,Ravand_Transient Nozooli To Soodi,Ravand Nozooli,No_newSignal,No_newSignal,No_newSignal,No_newSignal,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,PTL_isNozooli,Neutral,OS_Ehtiait_Souod,OS_Ehtiait_Souod,Vorood_OS_Ehtemal_Souod,34.10417324,20.2939727,23.00871084,29.77139904,Edame_Ravand_Souod,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Edame_Ravand_Nozool,Neutral,Neutral,Neutral,Neutral,0.390693505,0.390693505,0.390693505,0,1,1,1,0,0.483251817,0.775865989,0.724390577,0.724390577,1,3,2,2,0,0,0,0,0,0,0,0,0.790399267,0.775865989,0.724390577,0.724390577,4,3,2,2,0.390693505,0.390693505,0.390693505,0,1,1,1,0,1.892086751,2.436719344,6.444981391,9.023298713,1,2,2,3,0,0,0,0,0,0,0,0,0.683957209,0.882714005,1.108751145,2.075254779,1,1,2,2,8,2,1,2,8,2,1,17,0,0,0,-3.438608375,-1.42981103,-1.461162569,-2.240390132,2.861539057,0.118729307,0.303560553,0.720394483,-5.513596547
